"dname"	"task"	"irep"	"kfname"	"acc"	"label"
"1"	"eubm"	"age"	1	"dot_aken"	0.66	"average"
"2"	"eubm"	"age"	2	"dot_aken"	0.51	"average"
"3"	"eubm"	"age"	3	"dot_aken"	0.59	"average"
"4"	"eubm"	"age"	4	"dot_aken"	0.64	"average"
"5"	"eubm"	"age"	5	"dot_aken"	0.67	"average"
"6"	"eubm"	"age"	6	"dot_aken"	0.64	"average"
"7"	"eubm"	"age"	7	"dot_aken"	0.62	"average"
"8"	"eubm"	"age"	8	"dot_aken"	0.69	"average"
"9"	"eubm"	"age"	9	"dot_aken"	0.64	"average"
"10"	"eubm"	"age"	10	"dot_aken"	0.65	"average"
"11"	"eubm"	"age"	11	"dot_aken"	0.65	"average"
"12"	"eubm"	"age"	12	"dot_aken"	0.61	"average"
"13"	"eubm"	"age"	13	"dot_aken"	0.65	"average"
"14"	"eubm"	"age"	14	"dot_aken"	0.65	"average"
"15"	"eubm"	"age"	15	"dot_aken"	0.68	"average"
"16"	"eubm"	"age"	16	"dot_aken"	0.63	"average"
"17"	"eubm"	"age"	17	"dot_aken"	0.58	"average"
"18"	"eubm"	"age"	18	"dot_aken"	0.64	"average"
"19"	"eubm"	"age"	19	"dot_aken"	0.65	"average"
"20"	"eubm"	"age"	20	"dot_aken"	0.64	"average"
"21"	"eubm"	"age"	21	"dot_aken"	0.69	"average"
"22"	"eubm"	"age"	22	"dot_aken"	0.72	"average"
"23"	"eubm"	"age"	23	"dot_aken"	0.59	"average"
"24"	"eubm"	"age"	24	"dot_aken"	0.64	"average"
"25"	"eubm"	"age"	25	"dot_aken"	0.71	"average"
"26"	"eubm"	"age"	26	"dot_aken"	0.68	"average"
"27"	"eubm"	"age"	27	"dot_aken"	0.63	"average"
"28"	"eubm"	"age"	28	"dot_aken"	0.62	"average"
"29"	"eubm"	"age"	29	"dot_aken"	0.66	"average"
"30"	"eubm"	"age"	30	"dot_aken"	0.68	"average"
"31"	"eubm"	"age"	31	"dot_aken"	0.77	"average"
"32"	"eubm"	"age"	32	"dot_aken"	0.64	"average"
"33"	"eubm"	"age"	33	"dot_aken"	0.54	"average"
"34"	"eubm"	"age"	34	"dot_aken"	0.7	"average"
"35"	"eubm"	"age"	35	"dot_aken"	0.57	"average"
"36"	"eubm"	"age"	36	"dot_aken"	0.74	"average"
"37"	"eubm"	"age"	37	"dot_aken"	0.72	"average"
"38"	"eubm"	"age"	38	"dot_aken"	0.72	"average"
"39"	"eubm"	"age"	39	"dot_aken"	0.63	"average"
"40"	"eubm"	"age"	40	"dot_aken"	0.62	"average"
"41"	"eubm"	"age"	41	"dot_aken"	0.46	"average"
"42"	"eubm"	"age"	42	"dot_aken"	0.69	"average"
"43"	"eubm"	"age"	43	"dot_aken"	0.62	"average"
"44"	"eubm"	"age"	44	"dot_aken"	0.64	"average"
"45"	"eubm"	"age"	45	"dot_aken"	0.63	"average"
"46"	"eubm"	"age"	46	"dot_aken"	0.54	"average"
"47"	"eubm"	"age"	47	"dot_aken"	0.55	"average"
"48"	"eubm"	"age"	48	"dot_aken"	0.67	"average"
"49"	"eubm"	"age"	49	"dot_aken"	0.62	"average"
"50"	"eubm"	"age"	50	"dot_aken"	0.65	"average"
"51"	"eubm"	"age"	1	"dot_aosq2"	0.67	"learned weight (opt)"
"52"	"eubm"	"age"	2	"dot_aosq2"	0.54	"learned weight (opt)"
"53"	"eubm"	"age"	3	"dot_aosq2"	0.62	"learned weight (opt)"
"54"	"eubm"	"age"	4	"dot_aosq2"	0.55	"learned weight (opt)"
"55"	"eubm"	"age"	5	"dot_aosq2"	0.6	"learned weight (opt)"
"56"	"eubm"	"age"	6	"dot_aosq2"	0.63	"learned weight (opt)"
"57"	"eubm"	"age"	7	"dot_aosq2"	0.62	"learned weight (opt)"
"58"	"eubm"	"age"	8	"dot_aosq2"	0.57	"learned weight (opt)"
"59"	"eubm"	"age"	9	"dot_aosq2"	0.66	"learned weight (opt)"
"60"	"eubm"	"age"	10	"dot_aosq2"	0.67	"learned weight (opt)"
"61"	"eubm"	"age"	11	"dot_aosq2"	0.63	"learned weight (opt)"
"62"	"eubm"	"age"	12	"dot_aosq2"	0.64	"learned weight (opt)"
"63"	"eubm"	"age"	13	"dot_aosq2"	0.65	"learned weight (opt)"
"64"	"eubm"	"age"	14	"dot_aosq2"	0.63	"learned weight (opt)"
"65"	"eubm"	"age"	15	"dot_aosq2"	0.66	"learned weight (opt)"
"66"	"eubm"	"age"	16	"dot_aosq2"	0.61	"learned weight (opt)"
"67"	"eubm"	"age"	17	"dot_aosq2"	0.6	"learned weight (opt)"
"68"	"eubm"	"age"	18	"dot_aosq2"	0.54	"learned weight (opt)"
"69"	"eubm"	"age"	19	"dot_aosq2"	0.55	"learned weight (opt)"
"70"	"eubm"	"age"	20	"dot_aosq2"	0.54	"learned weight (opt)"
"71"	"eubm"	"age"	21	"dot_aosq2"	0.66	"learned weight (opt)"
"72"	"eubm"	"age"	22	"dot_aosq2"	0.71	"learned weight (opt)"
"73"	"eubm"	"age"	23	"dot_aosq2"	0.59	"learned weight (opt)"
"74"	"eubm"	"age"	24	"dot_aosq2"	0.6	"learned weight (opt)"
"75"	"eubm"	"age"	25	"dot_aosq2"	0.64	"learned weight (opt)"
"76"	"eubm"	"age"	26	"dot_aosq2"	0.68	"learned weight (opt)"
"77"	"eubm"	"age"	27	"dot_aosq2"	0.66	"learned weight (opt)"
"78"	"eubm"	"age"	28	"dot_aosq2"	0.67	"learned weight (opt)"
"79"	"eubm"	"age"	29	"dot_aosq2"	0.57	"learned weight (opt)"
"80"	"eubm"	"age"	30	"dot_aosq2"	0.61	"learned weight (opt)"
"81"	"eubm"	"age"	31	"dot_aosq2"	0.7	"learned weight (opt)"
"82"	"eubm"	"age"	32	"dot_aosq2"	0.62	"learned weight (opt)"
"83"	"eubm"	"age"	33	"dot_aosq2"	0.55	"learned weight (opt)"
"84"	"eubm"	"age"	34	"dot_aosq2"	0.67	"learned weight (opt)"
"85"	"eubm"	"age"	35	"dot_aosq2"	0.54	"learned weight (opt)"
